video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Ms--0d7Oh0s&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TheEconomist,The Economist,Green energy: Which sources are the most sustainable?,239K,2 years,Fossil fuels still supply about 80% of the world's power. How can energy be produced and used more sustainably to meet climate ...,2024-01-26 22:25:06.377605
/watch?v=7OpM_zKGE4o&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@RealEngineering,Real Engineering,The Problem with Solar Energy in Africa,6.9M,2 years,Select imagery/video supplied by Getty Images Thank you to AP Archive for access to their archival footage. Music by Epidemic ...,2024-01-26 22:25:06.381635
/watch?v=sUvaYycoWqI&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@DWPlanetA,DW Planet A,"How solar energy got so cheap, and why it's not everywhere (yet)",2.8M,3 years,"A lot speaks for solar energy. It's clean, renewable – and now even cheaper than energy from fossil fuels like coal or natural gas.",2024-01-26 22:25:06.385741
/watch?v=V8Vtb0bn30M&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@Vox,Vox,How solar energy got so cheap,811K,9 months,Cheap solar is a policy success story. Subscribe and turn on notifications so you don't miss any videos: http://goo.gl/0bsAjO ...,2024-01-26 22:25:06.388844
/watch?v=pqzvUur7QRw&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@Freesciencelessons,Freesciencelessons,"GCSE Physics Revision ""Renewable Sources of Energy""",348K,6 years,"In this video, we look at the advantages and disadvantages of renewable sources of energy. We explore solar, wind and hydro ...",2024-01-26 22:25:06.393234
/watch?v=wgLLPjLZz9o&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@CNBC,CNBC,The Big Business Of Energy For The EV Industry,2.3M,1 year,... California and learned why energy storage systems like Tesla's could be everywhere in a future of renewable power. Energy is ...,2024-01-26 22:25:06.396614
/watch?v=WuOBR7t1mG8&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TheEconomist,The Economist,Is nuclear fusion the future of clean energy?,195K,1 month,"Fusion is a kind of nuclear power, which could revolutionise how clean energy is produced. As a new wave of experiments heats ...",2024-01-26 22:25:06.400538
/watch?v=4KJE3POgWSc&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@CNBC,CNBC,How The U.S. Can Build A 100% Clean Grid,549K,2 years,"The U.S. electric grid is outdated. Designed for a world that runs on fossil fuels, our grid needs some major tech upgrades in order ...",2024-01-26 22:25:06.403763
/watch?v=DN1mPBQd7fY&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@business,Bloomberg Originals,"The World Needs Supergrids, But There's a Problem",689K,1 year,"If a green pivot is to happen, power grids must become “supergrids,” continent-spanning networks that can move green energy ...",2024-01-26 22:25:06.407045
/watch?v=PLBK1ux5b7U&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@MooMooMath,MooMooMath and Science,Difference between Renewable and Nonrenewable Resources,885K,4 years,Natural resources can be classified as renewable and nonrenewable resources. Natural resources can be classified as ...,2024-01-26 22:25:06.410972
