video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=bwEIqjU2qgk&pp=ygUMQ2xlYW4gRW5lcmd5,/@TED,TED,"How to Harness Abundant, Clean Energy for 10 Billion People | Julio Friedmann | TED",88K,1 month,"We can produce abundant, sustainable and cheap energy — for everyone, says physicist Julio Friedmann. He explores the ...",2024-01-26 22:29:31.278707
/watch?v=4KJE3POgWSc&pp=ygUMQ2xlYW4gRW5lcmd5,/@CNBC,CNBC,How The U.S. Can Build A 100% Clean Grid,549K,2 years,"The U.S. electric grid is outdated. Designed for a world that runs on fossil fuels, our grid needs some major tech upgrades in order ...",2024-01-26 22:29:31.281551
/watch?v=E39neWnw9AA&pp=ygUMQ2xlYW4gRW5lcmd5,/@TheEconomist,The Economist,How green is the energy revolution really?,247K,2 months,We hear a lot about the need to get off fossil fuels. How is the energy transition really going and how fast is the world moving ...,2024-01-26 22:29:31.285466
/watch?v=T4xKThjcKaE&pp=ygUMQ2xlYW4gRW5lcmd5,/@studentenergy,Student Energy,Renewable Energy 101,571K,8 years,Energy sources that are not depleted when used or are naturally replenished within a human lifetime. Learn more about ...,2024-01-26 22:29:31.289227
/watch?v=mHmIVw9etns&pp=ygUMQ2xlYW4gRW5lcmd5,/@physicsgirl,Physics Girl,The BIGGEST problem with clean energy,830K,2 years,"To reach our global goal of being net zero carbon emissions by 2050, we must solve one problem - energy storage. Thank you to ...",2024-01-26 22:29:31.293129
/watch?v=v6k7yBBhuZo&pp=ygUMQ2xlYW4gRW5lcmd5,/@CleoAbram,Cleo Abram,The Big Misconception About Clean Energy,528K,1 year,"I've been thinking about energy use all wrong. Subscribe to support Huge If True, an optimistic tech show. As long as most of our ...",2024-01-26 22:29:31.297127
/watch?v=b1LQSezKxnA&pp=ygUMQ2xlYW4gRW5lcmd5,/@business,Bloomberg Originals,How China Plans to Win the Future of Energy,1.9M,1 year,"China, the world's biggest polluter, has committed to reach net zero emissions by 2060, an ambitious goal matched by enormous ...",2024-01-26 22:29:31.300678
/watch?v=RnvCbquYeIM&pp=ygUMQ2xlYW4gRW5lcmd5,/@TEDEd,TED-Ed,Can 100% renewable energy power the world? - Federico Rosei and Renzo Rosei,2.4M,6 years,"Every year, the world uses 35 billion barrels of oil. This massive scale of fossil fuel dependence pollutes the earth, and it won't last ...",2024-01-26 22:29:31.303479
/watch?v=N-yALPEpV4w&pp=ygUMQ2xlYW4gRW5lcmd5,/@TEDx,TEDx Talks,Why renewables can’t save the planet | Michael Shellenberger | TEDxDanubia,5.4M,5 years,Environmentalists have long promoted renewable energy sources like solar panels and wind farms to save the climate. But what ...,2024-01-26 22:29:31.306392
/watch?v=Ms--0d7Oh0s&pp=ygUMQ2xlYW4gRW5lcmd5,/@TheEconomist,The Economist,Green energy: Which sources are the most sustainable?,239K,2 years,Fossil fuels still supply about 80% of the world's power. How can energy be produced and used more sustainably to meet climate ...,2024-01-26 22:29:31.310227
/watch?v=UVf2Yw7uFoE&pp=ygUMQ2xlYW4gRW5lcmd5,/@DWDocumentary,DW Documentary,Global renewables: Pioneering the energy transition | DW Documentary,463K,1 month,"... comes to renewable energy. To do this, the film visits two completely different places. One is in the US and the other, in Bavaria.",2024-01-26 22:29:41.091453
/watch?v=fs6WokEuweU&pp=ygUMQ2xlYW4gRW5lcmd5,/@CNAInsider,CNA Insider,China's Contradiction: World's Biggest Clean Energy Producer And Biggest Polluter? | Insight,95K,1 month,China is the undisputed global green tech leader. It has more solar capacity than all other countries combined. It is also leading ...,2024-01-26 22:29:41.094000
